Subject,Session,Block,Index,Reward,Correct_Side,Choice,Response_Latency,Date,Side,Chosen_Higher_Probability,Trial,log_Response_Latency,Task_Type,NewRunIndex,BlockGlobalIndex
F4,1,S,4,0,0,1,293,25-Apr-2025,0,0,68,5.68017260901707,0,2,3
F4,1,S,4,1,1,1,297,25-Apr-2025,0,0,69,5.6937321388027,0,2,3
F4,1,S,4,0,0,1,220,25-Apr-2025,0,0,70,5.39362754635236,0,2,3
F4,1,S,4,0,0,1,1914,25-Apr-2025,0,0,71,7.5569505720129,0,2,3
F4,1,S,4,0,1,0,292,25-Apr-2025,0,1,72,5.67675380226828,0,2,3
F4,1,S,4,0,0,1,335,25-Apr-2025,0,0,73,5.81413053182507,0,2,3
F4,1,S,4,1,0,0,79,25-Apr-2025,0,1,74,4.36944785246702,0,2,3
F4,1,S,4,1,0,0,478,25-Apr-2025,0,1,75,6.16961073249146,0,2,3
F4,1,S,4,1,0,0,48,25-Apr-2025,0,1,76,3.87120101090789,0,2,3
F4,1,S,4,1,0,0,35,25-Apr-2025,0,1,77,3.55534806148941,0,2,3
F4,1,S,4,1,0,0,115,25-Apr-2025,0,1,78,4.74493212836325,0,2,3
F4,1,S,4,1,1,1,157,25-Apr-2025,0,0,79,5.05624580534831,0,2,3
F4,1,S,4,0,0,1,481,25-Apr-2025,0,0,80,6.17586727010576,0,2,3
F4,1,S,4,0,0,1,85,25-Apr-2025,0,0,81,4.44265125649032,0,2,3
F4,1,S,4,1,0,0,36,25-Apr-2025,0,1,82,3.58351893845611,0,2,3
F4,1,S,4,0,1,0,58,25-Apr-2025,0,1,83,4.06044301054642,0,2,3
F4,1,S,4,0,0,1,49,25-Apr-2025,0,0,84,3.89182029811063,0,2,3
F4,1,S,4,0,0,1,217,25-Apr-2025,0,0,85,5.37989735354046,0,2,3
F4,1,S,4,1,0,0,369,25-Apr-2025,0,1,86,5.91079664404053,0,2,3
F4,1,S,4,0,0,1,280,25-Apr-2025,0,0,87,5.63478960316925,0,2,3
F4,1,S,4,1,1,1,256,25-Apr-2025,0,0,88,5.54517744447956,0,2,3
F4,1,S,4,0,0,1,92,25-Apr-2025,0,0,89,4.52178857704904,0,2,3
F4,1,S,4,0,1,0,169,25-Apr-2025,0,1,90,5.12989871492307,0,2,3
F4,1,S,4,0,0,1,522,25-Apr-2025,0,0,91,6.25766758788264,0,2,3
F4,1,S,4,0,0,1,621,25-Apr-2025,0,0,92,6.43133108193348,0,2,3
F4,1,S,4,1,0,0,242,25-Apr-2025,0,1,93,5.48893772615669,0,2,3
F4,1,S,4,1,0,0,51,25-Apr-2025,0,1,94,3.93182563272433,0,2,3
F4,1,S,4,1,0,0,96,25-Apr-2025,0,1,95,4.56434819146784,0,2,3
F4,1,S,4,1,0,0,1571,25-Apr-2025,0,1,96,7.35946763825562,0,2,3
F4,1,S,4,1,1,1,474,25-Apr-2025,0,0,97,6.16120732169508,0,2,3
F4,1,S,4,0,0,1,369,25-Apr-2025,0,0,98,5.91079664404053,0,2,3
F4,1,S,4,1,0,0,87,25-Apr-2025,0,1,99,4.46590811865458,0,2,3
F4,1,V,4,0,1,0,208,25-Apr-2025,1,0,100,5.33753807970132,0,2,4
F4,1,V,4,1,1,1,485,25-Apr-2025,1,1,101,6.18414889093748,0,2,4
F4,1,V,4,0,0,1,70,25-Apr-2025,1,1,102,4.24849524204936,0,2,4
F4,1,V,4,1,1,1,443,25-Apr-2025,1,1,103,6.09356977004514,0,2,4
F4,1,V,4,1,1,1,109,25-Apr-2025,1,1,104,4.69134788222914,0,2,4
F4,1,V,4,1,1,1,11,25-Apr-2025,1,1,105,2.39789527279837,0,2,4
F4,1,V,4,1,1,1,633,25-Apr-2025,1,1,106,6.45047042214418,0,2,4
F4,1,V,4,0,0,1,255,25-Apr-2025,1,1,107,5.54126354515843,0,2,4
F4,1,V,4,1,1,1,299,25-Apr-2025,1,1,108,5.70044357339069,0,2,4
F4,1,V,4,1,1,1,447,25-Apr-2025,1,1,109,6.10255859461357,0,2,4
F4,1,V,4,0,0,1,21,25-Apr-2025,0,0,110,3.04452243772342,0,2,4
F4,1,V,4,0,0,1,238,25-Apr-2025,0,0,111,5.47227067367148,0,2,4
F4,1,V,4,0,0,1,242,25-Apr-2025,0,0,112,5.48893772615669,0,2,4
F4,1,V,4,0,1,0,86,25-Apr-2025,0,1,113,4.45434729625351,0,2,4
F4,1,V,4,1,0,0,44,25-Apr-2025,0,1,114,3.78418963391826,0,2,4
F4,1,V,4,1,0,0,128,25-Apr-2025,0,1,115,4.85203026391962,0,2,4
F4,1,V,4,1,0,0,23,25-Apr-2025,0,1,116,3.13549421592915,0,2,4
F4,1,V,4,0,0,1,286,25-Apr-2025,0,0,117,5.65599181081985,0,2,4
F4,1,V,4,1,0,0,282,25-Apr-2025,0,1,118,5.64190707093811,0,2,4
F4,1,V,4,0,1,0,39,25-Apr-2025,0,1,119,3.66356164612965,0,2,4
F4,1,V,4,0,0,1,97,25-Apr-2025,0,0,120,4.57471097850338,0,2,4
F4,1,V,4,1,0,0,40,25-Apr-2025,0,1,121,3.68887945411394,0,2,4
F4,1,V,4,1,0,0,58,25-Apr-2025,0,1,122,4.06044301054642,0,2,4
F4,1,V,4,1,0,0,26,25-Apr-2025,0,1,123,3.25809653802148,0,2,4
F4,1,V,4,1,1,1,118,25-Apr-2025,0,0,124,4.77068462446567,0,2,4
F4,1,V,4,0,0,1,209,25-Apr-2025,0,0,125,5.34233425196481,0,2,4
F4,1,V,4,1,0,0,26,25-Apr-2025,0,1,126,3.25809653802148,0,2,4
F4,1,V,4,1,0,0,21,25-Apr-2025,0,1,127,3.04452243772342,0,2,4
F4,1,V,4,0,1,0,91,25-Apr-2025,0,1,128,4.51085950651685,0,2,4
F4,1,V,4,0,0,1,25,25-Apr-2025,0,0,129,3.2188758248682,0,2,4
F4,1,V,4,0,0,1,772,25-Apr-2025,1,1,130,6.64898455002478,0,2,4
F4,1,V,4,0,1,0,27,25-Apr-2025,1,0,131,3.29583686600433,0,2,4
F4,1,V,4,0,1,0,91,25-Apr-2025,1,0,132,4.51085950651685,0,2,4
F4,1,V,4,1,1,1,92,25-Apr-2025,1,1,133,4.52178857704904,0,2,4
F4,1,V,4,1,1,1,343,25-Apr-2025,1,1,134,5.83773044716594,0,2,4
F4,1,V,4,0,1,0,127,25-Apr-2025,1,0,135,4.84418708645859,0,2,4
F4,1,V,4,0,0,1,27,25-Apr-2025,1,1,136,3.29583686600433,0,2,4
F4,1,V,4,1,1,1,239,25-Apr-2025,1,1,137,5.47646355193151,0,2,4
